	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
36.00708	17.533	66.884	68.759	63.374	69.793	30.061	24.67	28.081	20.588	68.24	71.941	65.267	71.92	26.581	29.712	26.607	22.268	61.119	71.789	63.208	73.094	29.15	29.624	32.662	5.774	23.725	11.955	18.8	14.771	15.168	16.089	3.927	27.11	12.502	15.926	11.701	15.535	14.785	13.477	19.25	10.468	11.681	4.571	11.195	15.495
36.17365	17.677	66.626	68.73	63.316	69.937	30.435	24.814	28.254	20.846	68.584	71.625	65.44	72.207	27.069	29.884	26.895	22.584	61.435	72.22	63.351	73.352	29.409	29.911	32.805	5.687	23.926	12.271	19.805	15.288	15.168	16.204	3.554	27.311	13.019	16.414	11.873	15.248	14.871	13.879	19.853	10.841	12.14	4.6	11.195	15.323
36.34038	17.686	66.461	68.85	63.181	70.312	30.952	24.874	28.515	20.822	68.043	71.628	65.331	72.238	27.387	30.027	27.007	22.557	61.299	72.338	63.16	73.585	29.755	30.141	33.435	5.959	24.417	12.111	19.641	15.012	15.035	16.098	3.824	27.369	13.173	16.252	11.856	16.345	14.766	14.029	20.06	10.077	11.605	4.845	11.493	15.389
36.50717	17.75	66.822	68.781	63.255	70.646	31.392	25.112	28.782	20.887	68.003	71.733	65.405	72.429	27.769	30.267	27.247	22.595	61.401	72.27	63.176	73.862	30.051	30.495	33.675	5.878	23.909	11.772	19.562	15.879	15.271	16.363	3.801	27.551	12.059	17.005	11.69	15.319	15.203	14.697	20.24	10.197	11.869	4.763	12.016	15.51
36.67374	17.882	66.377	68.533	63.187	70.305	31.736	25.291	29.102	20.982	67.899	71.739	65.732	72.663	28.003	30.436	27.442	22.771	61.617	72.105	63.252	73.811	30.397	30.723	34.215	5.905	24.517	11.796	19.864	14.982	15.29	16.294	3.853	27.896	12.512	15.876	11.571	15.562	15.508	14.307	20.194	9.962	11.747	4.909	11.751	15.441
36.84032	17.928	66.478	68.572	63.262	70.738	32.108	25.354	29.364	21.019	67.995	71.229	65.4	73.098	28.321	30.863	27.636	22.89	61.031	71.883	63.213	73.903	30.857	30.722	34.352	6.161	24.294	11.849	20.137	14.86	15.109	16.455	3.762	27.869	12.906	16.755	12.082	15.432	15.584	13.947	19.919	10.615	12.398	4.968	11.858	15.085
37.00708	17.856	66.311	68.636	63.494	71.148	32.414	25.429	29.582	21.15	67.972	71.38	65.664	73.02	28.74	30.826	28.03	23.079	60.921	71.919	63.302	74.598	31.076	31.114	34.889	6.315	24.741	11.86	20.438	15.302	14.978	16.612	3.831	28.145	12.66	16.682	11.836	15.618	15.855	14.563	19.82	10.512	12.467	4.948	11.555	15.843
37.17374	18.109	66.056	68.377	63.27	71.255	32.88	25.5	29.967	21.338	67.685	71.118	65.664	73.186	29.153	31.205	28.119	23.063	61.01	71.515	63.365	74.707	31.573	31.322	35.208	6.346	24.869	12.176	20.746	15.214	15.09	16.578	3.889	28.642	12.316	16.822	11.894	15.639	15.106	13.982	20.04	10.683	12.093	5.097	11.411	15.637
37.34042	18.122	66.29	68.383	63.245	71.378	33.272	25.575	30.271	21.44	67.92	71.297	65.526	73.766	29.457	31.34	28.513	23.139	61.015	71.636	63.311	74.629	31.85	31.485	35.773	6.385	24.829	12.559	21.19	15.398	15.103	15.761	4.1	28.432	12.757	16.692	11.733	15.482	15.463	14.455	20.399	10.523	12.649	5.107	11.766	15.565
37.50719	18.305	66.074	68.487	63.314	71.548	33.762	25.827	30.641	21.604	67.996	71.405	65.83	74.308	30.115	31.802	28.664	23.221	61.056	71.829	63.35	74.997	32.165	31.86	36.182	6.932	25.397	12.307	21.377	15.406	15.198	16.546	4.106	28.46	13.223	16.644	12.11	15.956	15.53	14.672	20.588	10.644	12.916	5.392	11.659	16.007
37.6738	18.4	66.225	67.977	63.409	71.578	33.932	25.83	31.043	21.579	67.657	71.265	65.606	74.252	30.173	31.8	29.176	23.165	60.892	71.833	63.388	75.257	32.566	32.145	36.321	6.802	25.142	12.834	20.696	15.388	15.093	16.64	4.117	29.148	12.861	16.424	12.065	15.59	15.941	14.477	20.422	11.143	12.983	5.235	11.526	15.9
37.84058	18.466	65.631	68.011	63.417	71.922	34.503	25.89	31.216	21.612	67.691	71.068	65.698	74.482	30.517	32.056	29.286	23.339	60.7	71.55	63.512	75.345	32.966	32.316	36.661	6.958	25.43	12.359	21.447	15.369	15.275	16.248	4.243	29.263	13.416	16.663	11.79	15.825	15.319	14.626	20.714	10.609	13.308	5.307	12.024	15.679
38.00719	18.395	66.4	68.32	63.299	71.97	34.94	26.044	31.598	21.796	67.856	71.376	65.606	74.445	30.813	32.178	29.636	23.292	60.81	71.686	63.308	75.394	33.119	32.381	36.954	7.033	25.842	12.691	21.604	15.901	15.605	16.521	4.404	29.157	12.316	16.908	11.98	15.839	15.278	14.668	20.784	10.34	13.123	5.613	11.869	15.809
38.17379	18.494	65.574	67.954	63.303	72.008	35.076	26.319	31.645	21.784	67.777	71.326	65.555	74.797	31.233	32.399	29.859	23.654	61.101	71.264	63.426	76.032	33.682	32.831	37.52	7.301	25.946	11.958	22.363	15.14	15.876	16.964	4.329	29.778	13.015	16.921	12.306	15.94	15.577	14.999	20.714	10.266	13.193	5.765	11.967	15.794
38.34045	18.446	65.954	68.245	63.397	72.466	35.731	26.407	32.247	22.073	67.725	71.157	65.761	75.456	31.719	32.826	30.169	23.627	61.08	71.411	63.549	76.263	33.938	33.172	37.772	7.028	26.033	12.256	21.483	15.179	15.742	16.686	4.14	29.606	12.825	16.93	12.718	16.061	15.815	15.176	20.862	10.849	13.517	5.379	12.321	16.031
38.50716	18.644	65.991	68.057	63.348	72.399	35.945	26.5	32.371	21.992	67.193	71.0	65.629	75.274	32.101	33.04	30.414	23.749	60.602	71.396	63.671	76.681	34.379	33.471	38.419	7.507	26.04	12.45	21.712	16.005	15.195	16.799	4.335	29.902	12.677	16.956	12.34	15.604	15.813	14.605	21.151	10.93	13.715	5.798	12.03	16.058
38.67381	18.769	65.733	67.936	63.406	72.61	36.358	26.61	32.761	22.106	67.501	70.961	65.881	75.686	32.576	33.367	30.85	23.8	60.43	71.615	63.329	76.579	34.824	33.399	38.425	7.298	26.35	12.668	22.004	15.762	15.58	16.751	4.466	29.891	12.95	17.168	12.473	16.153	16.053	14.981	21.182	10.889	13.012	5.766	11.988	15.753
38.84053	19.071	65.263	67.633	63.138	72.724	36.637	26.671	33.132	22.141	67.34	71.11	65.635	75.373	32.717	33.389	30.983	24.031	60.418	71.252	63.233	76.639	35.048	33.908	38.785	7.751	26.524	11.692	21.76	15.325	15.77	16.025	4.432	30.204	12.401	17.015	12.325	15.423	15.756	15.106	20.707	10.111	13.374	5.881	12.438	16.226
39.00726	18.784	65.586	67.645	63.459	72.915	37.051	26.964	33.543	22.203	67.381	70.839	65.789	76.105	33.328	33.717	31.285	24.125	60.369	71.322	63.44	77.056	35.432	34.064	39.26	7.859	26.846	12.228	21.446	15.435	15.739	16.366	4.569	30.157	12.796	17.07	12.947	16.138	15.582	15.137	20.909	10.963	13.828	5.928	12.233	16.253
39.17393	18.902	65.476	67.942	63.376	73.201	37.491	27.33	34.003	22.451	67.393	70.714	65.658	76.019	33.59	34.099	31.846	24.064	60.0	71.138	63.442	77.282	35.783	34.273	39.392	8.08	26.756	12.565	22.113	16.091	15.94	16.369	4.364	30.561	12.334	16.956	12.856	16.176	16.271	15.436	21.609	10.701	13.801	6.314	12.345	16.058
39.34055	18.824	65.598	67.29	63.471	73.201	37.745	27.217	34.431	22.654	67.685	70.603	66.036	76.563	34.047	34.296	32.155	24.18	60.581	71.143	63.565	77.312	36.209	34.585	39.93	7.834	27.216	12.376	22.463	15.729	15.434	17.179	4.776	30.617	12.402	17.251	12.924	16.698	16.594	15.498	21.299	10.483	13.867	6.185	12.499	16.295
39.50718	19.112	65.275	67.479	63.492	73.296	38.245	27.411	34.706	22.563	67.329	70.589	65.795	76.744	34.521	34.539	32.366	24.429	60.344	70.872	63.472	77.179	36.368	34.772	40.169	8.241	27.351	12.668	22.747	15.619	15.323	16.751	4.667	31.149	12.464	16.739	13.216	16.496	16.224	15.41	21.611	11.06	13.956	6.452	12.589	16.467
39.67393	19.135	65.222	67.593	63.182	73.743	38.361	27.594	34.884	22.521	67.643	70.414	65.881	76.991	34.983	34.856	32.651	24.383	60.063	71.184	63.564	77.657	36.629	35.09	40.454	8.899	27.59	12.069	22.538	15.988	15.891	16.632	4.723	31.128	13.435	16.965	13.387	16.173	16.848	16.028	21.657	10.945	14.18	6.571	12.358	16.09
39.84061	19.291	65.569	67.713	63.529	73.724	38.812	27.869	35.362	22.766	67.306	70.393	65.943	77.029	35.119	35.193	33.217	24.487	60.438	71.019	63.681	77.838	37.108	35.369	40.763	8.539	27.78	11.994	22.725	16.001	16.047	16.788	4.821	31.119	12.675	17.063	13.142	15.873	16.176	15.472	21.616	10.471	14.422	6.581	12.742	16.789
40.00726	19.363	64.908	67.308	63.411	73.486	39.076	27.994	35.77	23.092	66.815	70.414	65.738	77.334	35.555	35.228	33.394	24.611	60.234	70.698	63.392	77.857	37.258	35.461	41.111	8.87	27.819	12.84	22.31	15.988	16.034	16.603	4.866	31.385	12.521	17.193	13.387	16.43	16.191	16.114	21.657	10.516	13.666	6.742	12.701	16.175
40.17406	19.45	65.242	67.667	63.204	73.752	39.431	28.101	35.929	23.086	67.174	70.372	65.726	77.285	35.912	35.498	33.775	24.603	60.34	70.856	63.499	78.296	37.558	35.761	41.406	8.363	28.552	12.218	22.851	15.907	15.865	16.833	4.843	31.488	13.068	17.338	13.164	16.228	16.25	15.597	21.569	11.007	14.553	6.666	12.791	16.319
40.34069	19.406	64.798	67.542	63.386	74.067	39.612	28.241	36.305	23.024	67.22	70.193	65.686	77.744	36.262	35.85	33.931	24.744	59.952	70.819	63.367	78.409	37.908	36.14	41.877	8.71	28.266	12.594	22.382	15.772	16.075	16.96	5.049	31.719	12.418	16.977	13.542	16.988	16.204	15.558	21.902	10.785	13.65	6.866	12.97	16.704
40.50724	19.535	64.908	67.565	63.497	74.114	39.961	28.48	36.741	23.292	67.329	70.5	65.909	77.791	36.583	35.999	34.593	24.954	60.148	71.184	63.649	78.543	38.286	36.233	42.139	8.985	28.59	12.64	22.224	16.103	15.948	16.432	5.152	31.956	13.264	17.307	13.302	16.544	16.162	15.8	22.0	10.859	14.066	7.114	12.529	17.032
40.67395	19.6	64.737	67.274	63.412	74.151	40.224	28.558	37.011	23.318	67.123	70.404	65.675	78.027	36.879	36.207	34.823	24.975	59.892	70.604	63.537	78.496	38.41	36.328	42.254	9.287	28.524	12.6	23.028	16.031	16.074	17.697	5.339	31.971	13.592	17.233	13.233	16.063	16.629	16.287	21.859	10.476	14.676	6.994	12.43	16.983
40.84074	19.685	64.888	67.085	63.191	74.485	40.441	28.823	37.452	23.352	66.706	70.218	65.915	78.018	37.179	36.594	35.271	25.126	59.843	70.731	63.43	78.943	38.625	36.8	42.617	9.31	28.99	12.394	22.544	16.255	15.758	17.268	5.277	32.383	12.246	17.117	13.113	17.007	16.685	15.491	21.976	11.041	14.817	6.813	12.968	16.811
41.00746	19.72	64.54	67.456	63.386	74.667	40.67	28.927	37.791	23.595	66.506	70.45	66.115	78.344	37.576	36.736	35.332	25.316	59.867	70.933	63.681	79.124	38.937	36.883	43.021	9.568	28.809	12.251	22.639	16.287	16.647	17.303	5.221	32.434	12.876	17.149	13.742	17.073	16.604	16.216	21.93	11.3	14.651	7.266	13.085	17.104
41.17402	19.72	64.54	67.256	63.3	74.61	40.984	29.213	37.962	23.567	66.306	70.278	65.858	78.63	38.033	37.193	35.818	25.259	59.609	70.476	63.796	79.209	39.108	37.198	43.221	9.911	29.38	12.566	22.81	16.858	16.218	17.474	5.592	32.777	13.018	17.292	13.113	17.245	17.033	15.815	22.016	11.043	14.108	7.266	12.913	17.218
41.34067	19.92	64.94	67.313	63.3	74.696	41.213	29.384	38.477	23.852	67.106	70.135	65.772	78.801	38.376	37.25	36.132	25.487	59.667	70.733	63.624	79.124	39.365	37.369	43.392	10.025	29.666	12.394	22.896	16.201	16.047	16.96	5.335	32.748	13.218	17.663	13.056	16.873	16.604	15.815	22.245	10.814	14.679	7.524	12.713	17.647
41.50736	19.927	64.614	67.33	63.374	74.715	41.51	29.565	38.745	23.861	66.866	70.553	65.875	78.735	38.387	37.433	36.344	25.668	59.626	70.894	63.612	79.4	39.577	37.58	43.605	9.859	29.847	12.171	22.904	16.55	16.739	17.338	5.741	32.93	13.396	17.927	13.576	16.91	16.811	15.966	22.681	11.134	14.457	7.414	13.234	17.825
41.67408	20.056	64.459	67.171	63.391	75.227	41.554	29.766	38.965	24.208	66.506	69.819	65.686	78.989	38.835	37.707	36.812	25.868	59.443	70.331	63.515	79.571	39.938	37.599	43.93	10.481	29.932	12.309	22.63	16.684	16.386	17.382	5.448	33.239	13.188	17.516	13.598	17.635	17.113	16.005	22.718	10.927	14.817	7.584	13.054	17.354
41.84072	20.198	64.56	67.136	63.663	75.269	41.819	29.87	39.424	24.222	66.9	70.274	65.881	79.374	39.21	38.028	37.284	25.859	59.315	70.786	63.844	79.81	40.085	38.031	44.115	10.472	30.725	12.783	22.404	16.877	17.038	17.609	5.982	33.294	13.065	17.397	13.645	17.582	17.311	16.325	22.469	11.003	14.842	7.682	13.332	17.84
42.0074	20.228	64.652	66.76	63.412	75.035	41.936	30.127	39.663	24.287	66.695	70.119	65.874	79.453	39.446	38.146	37.39	26.087	59.55	70.689	63.622	79.808	40.207	38.096	44.507	10.713	30.435	12.458	23.313	16.202	16.246	17.612	5.767	33.682	12.366	17.519	13.603	17.062	17.171	16.144	22.458	11.246	14.847	7.821	13.457	17.125
42.1741	20.128	64.256	67.051	63.245	75.16	41.959	30.374	39.914	24.276	66.814	70.012	65.966	79.178	39.64	38.341	37.672	26.049	59.639	70.81	63.569	79.761	40.458	38.204	44.561	11.096	30.797	12.44	22.358	16.157	17.029	17.711	5.836	33.703	13.234	17.332	13.758	17.534	17.413	16.816	23.13	11.201	14.604	7.717	13.355	17.767
42.34082	20.356	64.635	67.091	63.423	75.238	42.434	30.641	40.244	24.626	66.655	70.054	65.892	79.799	39.971	38.673	38.094	26.401	59.475	70.366	63.747	79.78	40.646	38.421	44.697	11.121	31.008	12.577	22.616	16.353	16.713	17.682	6.288	34.317	13.258	17.387	13.638	17.65	17.127	16.335	22.935	11.196	14.888	8.023	13.666	17.882
42.50757	20.356	64.071	66.816	63.402	75.63	42.596	30.765	40.631	24.633	66.437	70.039	65.932	79.707	40.16	38.948	38.374	26.44	59.626	70.436	63.64	80.086	40.806	38.724	45.091	11.231	30.876	13.457	23.047	16.864	16.911	17.71	6.656	34.045	13.196	17.756	13.633	18.11	17.583	17.081	22.71	10.82	14.772	7.872	13.577	18.254
42.67418	20.563	64.358	66.811	63.375	75.464	42.57	31.04	40.752	24.685	66.147	70.029	65.926	79.74	40.422	39.037	38.57	26.515	58.999	70.656	63.442	79.98	40.897	38.901	45.059	11.359	31.378	12.903	22.622	16.477	16.978	17.832	6.47	34.028	12.84	17.681	13.507	17.627	17.677	16.653	23.11	11.178	14.896	7.836	13.276	18.402
42.84101	20.592	64.022	67.05	63.268	75.543	42.732	31.365	41.083	24.949	66.815	69.814	65.909	80.276	40.754	39.284	38.821	26.782	59.491	71.012	63.649	80.285	41.257	39.089	45.367	11.527	31.846	12.84	22.967	16.588	17.062	18.717	6.666	34.584	12.864	17.536	13.616	17.829	17.648	17.114	23.514	11.459	14.637	8.113	13.501	18.203
43.00757	20.67	64.227	67.051	63.416	75.959	42.958	31.402	41.397	24.819	66.501	69.783	65.709	80.263	40.782	39.568	39.242	26.848	59.468	70.296	63.512	80.36	41.285	39.089	45.474	11.667	31.71	12.897	22.586	17.185	17.286	17.997	6.892	34.445	12.577	17.589	13.958	18.19	17.87	17.016	23.187	11.172	14.49	7.974	13.983	18.024
43.1741	20.741	64.459	66.914	63.22	75.827	43.153	31.678	41.734	25.122	66.049	69.99	65.943	80.416	41.147	39.677	39.582	27.039	59.5	70.388	63.772	80.398	41.479	39.283	45.586	11.68	32.273	12.452	23.144	17.54	17.214	18.439	7.247	34.923	12.903	16.917	13.798	17.692	17.627	16.947	23.318	11.47	14.56	8.184	13.653	18.524
43.34081	20.741	64.06	66.914	63.134	75.827	43.239	31.792	41.763	25.522	66.335	69.562	65.858	80.188	41.433	39.791	39.667	27.125	59.329	70.76	63.601	80.227	41.422	39.426	45.7	11.965	32.244	12.651	22.544	17.197	16.957	18.267	7.047	34.923	12.989	17.288	14.112	18.063	18.026	17.175	23.546	11.184	15.302	8.441	13.881	18.838
43.50758	20.891	64.09	66.881	63.449	75.803	43.326	32.037	42.11	25.629	66.187	69.781	66.137	80.534	41.522	39.965	40.003	27.313	59.388	70.295	63.517	80.52	41.655	39.716	45.952	12.063	32.6	12.954	22.577	17.067	17.252	18.874	7.288	34.99	13.033	17.129	14.014	17.808	17.749	17.09	23.317	11.342	14.913	8.233	13.751	18.7
43.67423	20.955	64.227	66.537	63.273	75.987	43.5	32.343	42.339	25.846	66.386	69.726	66.479	80.462	41.78	40.31	40.354	27.505	59.069	70.468	63.74	80.845	42.027	39.945	46.131	12.466	32.823	12.783	23.071	17.242	17.742	18.824	7.634	35.244	12.577	17.96	14.614	18.361	18.298	17.501	23.615	11.686	14.861	8.573	14.211	19.08
43.8409	21.184	63.971	66.68	63.273	75.816	43.586	32.458	42.453	25.874	66.472	69.726	65.994	80.462	41.837	40.395	40.611	27.59	59.154	70.553	63.483	80.617	41.999	40.031	46.131	12.523	33.251	13.068	22.986	17.413	17.486	18.995	7.748	35.216	12.806	17.332	14.1	18.047	18.126	17.301	23.901	11.115	14.775	8.487	14.069	18.909
44.00752	21.084	63.91	66.732	63.213	76.119	43.733	32.637	42.772	25.885	66.638	70.033	66.017	80.822	42.156	40.628	40.984	27.77	59.122	70.319	63.565	80.692	41.975	40.15	46.19	12.51	33.259	13.228	22.942	18.17	17.444	18.724	7.877	35.65	12.965	17.775	14.345	18.859	18.54	17.314	23.684	11.274	14.933	8.591	14.427	18.922
44.17426	21.306	63.794	66.422	63.354	76.171	43.903	32.85	43.026	26.206	66.015	69.729	66.166	80.876	42.239	40.712	41.192	27.925	59.063	70.298	63.592	80.942	42.4	40.318	46.51	12.812	33.76	13.068	23.338	17.874	17.776	18.803	8.151	35.698	13.206	17.822	14.673	18.743	18.162	17.285	24.0	11.488	15.58	8.799	14.5	18.946
44.34085	21.254	63.504	66.408	63.348	76.012	43.941	33.025	43.096	26.276	66.199	69.507	66.034	80.486	42.337	40.893	41.216	27.959	59.03	69.992	63.416	80.443	42.299	40.388	46.452	12.399	33.559	12.521	22.826	17.745	18.072	19.237	8.251	35.607	13.226	17.635	14.15	18.77	18.569	17.851	24.022	11.992	15.533	8.884	14.6	18.693
44.50763	21.712	63.803	66.428	63.277	76.283	44.009	33.305	43.304	26.349	66.221	69.39	66.029	80.816	42.518	41.104	41.608	28.152	58.672	70.217	63.687	80.741	42.364	40.568	46.842	13.078	33.957	13.394	23.344	17.883	18.127	19.295	8.731	36.265	12.817	17.545	14.797	19.148	18.397	17.746	24.06	11.27	15.417	8.498	14.481	19.352
44.67424	21.568	63.447	66.522	63.234	76.325	44.026	33.452	43.467	26.703	65.657	69.364	65.948	80.856	42.65	41.007	41.757	28.244	58.688	69.992	63.501	80.614	42.442	40.559	46.623	12.257	34.243	13.005	23.453	18.172	18.072	19.551	8.536	36.006	13.54	17.293	14.236	18.941	18.825	17.937	24.022	11.479	15.419	9.14	14.686	18.778
44.84102	21.52	63.397	66.456	63.443	76.325	44.185	33.671	43.678	26.653	66.42	69.164	66.029	80.944	42.806	41.194	42.105	28.459	58.466	70.076	63.538	80.61	42.623	40.827	46.85	12.854	34.296	13.423	23.125	18.43	18.219	19.56	8.621	35.892	13.018	17.72	14.399	19.188	18.69	18.302	24.388	11.671	15.336	8.981	14.828	19.161
45.00752	21.543	63.366	66.317	63.328	76.234	44.242	33.828	43.79	26.804	66.025	69.544	65.864	80.741	42.976	41.336	42.114	28.587	58.664	70.427	63.451	80.803	42.706	40.967	46.999	12.785	34.971	13.235	23.15	18.105	18.21	19.898	9.069	36.226	13.318	18.024	14.384	19.359	19.141	18.303	24.762	11.513	15.212	9.018	14.788	19.472
45.17435	21.702	63.405	66.16	63.052	76.124	44.258	34.177	44.119	26.918	66.184	69.163	66.053	80.918	43.048	41.611	42.483	28.819	58.673	69.959	63.375	80.691	42.777	41.039	47.021	12.853	35.094	13.069	23.654	18.173	18.223	19.484	9.31	36.236	13.354	17.749	14.764	19.924	19.042	18.239	24.957	11.636	15.253	9.022	15.028	19.69
45.34118	21.761	63.447	66.525	63.268	76.34	44.414	34.289	44.215	27.251	66.092	69.16	65.962	81.079	43.26	41.623	42.592	28.929	58.601	69.841	63.762	80.244	42.843	41.306	47.27	13.049	35.726	13.747	23.344	18.628	18.823	19.744	9.507	36.64	13.001	18.146	14.554	19.531	19.1	18.794	24.681	11.455	15.824	9.639	15.311	19.809
45.50774	21.706	63.489	66.373	63.369	76.24	44.512	34.459	44.341	27.327	65.682	69.358	66.101	80.809	43.271	41.722	42.76	29.097	58.901	70.125	63.633	80.832	43.025	41.431	47.376	13.13	35.728	13.248	23.262	18.97	18.363	19.86	9.735	36.672	13.394	18.171	15.092	19.798	19.331	18.488	25.124	11.158	15.564	9.366	15.738	19.555
45.67435	21.922	63.32	66.436	63.171	76.625	44.566	34.624	44.595	27.461	66.176	69.48	66.107	80.762	43.382	42.063	42.874	29.29	58.675	69.987	63.493	80.669	43.135	41.455	47.402	13.144	35.98	13.548	24.198	18.725	18.808	20.422	9.921	36.925	12.859	18.386	14.673	19.728	19.778	18.477	25.112	11.486	15.836	9.521	15.637	20.232
45.84103	21.919	63.677	66.576	63.242	76.463	44.781	34.782	44.778	27.749	65.8	69.486	66.108	80.863	43.652	42.193	43.342	29.532	58.656	70.366	63.563	80.877	43.258	41.55	47.429	13.561	36.176	12.829	23.999	18.365	19.001	20.42	10.199	37.21	13.411	18.401	15.024	20.199	19.861	18.835	25.07	11.664	15.335	9.286	15.826	19.83
46.00763	22.013	63.058	66.363	63.2	76.627	44.592	35.023	44.819	27.701	65.615	69.1	66.039	81.085	43.751	42.263	43.385	29.542	58.413	69.951	63.55	80.406	43.097	41.707	47.471	13.481	36.273	13.642	23.892	18.92	18.921	20.341	10.581	37.135	13.59	17.975	15.492	19.948	19.955	19.392	25.107	11.353	15.602	9.407	15.342	20.386
46.17441	22.102	63.1	66.297	63.186	76.412	44.836	35.282	44.83	27.951	66.041	69.473	66.236	80.784	43.763	42.45	43.671	29.798	58.57	70.005	63.594	80.476	43.28	41.833	47.723	13.65	36.71	13.228	23.782	19.033	19.47	20.691	11.043	37.226	13.35	18.26	15.283	20.101	19.842	19.259	25.437	11.748	15.484	9.566	15.743	20.363
46.3411	22.265	63.145	66.236	63.262	76.323	44.874	35.274	44.837	27.991	65.749	69.564	66.064	80.899	43.945	42.605	43.551	29.816	58.471	70.008	63.525	80.47	43.285	41.926	47.77	13.631	36.968	13.489	23.803	19.218	19.572	20.941	11.289	37.63	13.614	18.009	14.911	20.33	19.859	19.085	25.322	12.071	15.524	9.737	15.985	19.805
46.5076	22.533	63.075	66.195	63.192	76.053	44.8	35.487	45.052	28.145	65.506	69.003	66.284	80.949	43.957	42.589	43.681	29.942	58.197	69.823	63.512	80.142	43.326	41.968	47.697	13.435	37.153	13.205	24.506	19.167	19.405	20.949	11.615	37.41	13.417	18.451	15.091	20.425	20.446	19.267	25.505	11.642	15.618	9.424	16.224	20.595
46.67444	22.48	63.298	66.255	63.214	76.496	45.037	35.762	45.375	28.466	65.799	69.274	66.234	80.902	44.135	42.828	43.997	30.243	58.593	70.006	63.476	80.349	43.617	42.028	48.033	13.69	37.493	13.537	24.08	19.599	19.492	20.664	12.139	37.78	14.13	18.62	15.34	20.905	20.568	19.924	25.902	11.687	15.789	9.867	16.337	20.168
46.84105	22.606	62.826	66.225	63.063	76.335	44.955	35.73	45.525	28.486	65.74	69.45	66.147	80.8	44.111	42.892	43.981	30.354	58.5	70.036	63.47	80.448	43.62	42.09	47.956	13.986	37.726	13.131	24.381	19.547	19.703	21.43	12.641	37.925	14.133	19.12	15.459	20.744	20.781	19.706	25.946	11.834	15.562	9.983	16.343	20.76
47.00775	22.687	63.078	66.363	63.171	76.279	45.138	35.995	45.649	28.69	65.588	69.504	66.433	80.599	44.235	43.047	44.227	30.59	58.17	70.002	63.519	80.361	43.628	42.301	48.054	13.745	37.935	13.323	25.017	20.15	20.133	21.104	13.275	37.902	13.657	18.937	15.653	20.537	21.299	19.878	26.06	11.678	15.758	9.854	16.277	20.261
47.17434	22.765	62.765	66.219	63.147	76.295	45.075	36.115	45.616	28.583	65.88	68.978	66.083	80.701	44.231	43.157	44.388	30.507	58.206	69.623	63.583	80.059	43.567	42.385	48.103	13.391	38.371	13.73	25.499	20.231	19.572	21.676	13.469	37.902	13.51	19.454	15.33	20.669	21.085	20.212	26.161	11.706	15.752	9.797	16.532	20.134
47.34119	22.862	62.846	65.869	63.229	76.279	45.226	36.315	45.824	28.807	65.384	68.951	66.2	80.424	44.381	43.134	44.46	30.764	58.17	70.09	63.432	80.332	43.657	42.359	48.171	13.861	38.371	13.265	25.25	20.18	20.045	21.395	13.246	37.902	13.802	18.85	15.653	21.119	20.949	20.053	26.293	12.115	15.874	9.941	16.8	20.61
47.5079	22.827	62.632	65.978	62.9	76.107	45.264	36.552	45.803	29.157	65.814	69.121	65.961	80.835	44.477	43.464	44.503	31.117	58.393	70.056	63.714	80.158	43.868	42.571	48.445	13.532	38.756	13.865	24.867	20.463	20.184	22.38	14.114	38.286	13.821	19.628	16.08	20.97	21.322	20.4	26.582	11.755	15.633	9.929	17.084	20.343
47.67444	23.107	63.399	66.343	63.173	76.227	45.252	36.677	45.85	29.392	65.393	69.14	66.242	80.432	44.727	43.454	44.706	31.094	58.316	69.9	63.55	79.927	43.855	42.733	48.381	13.719	39.002	13.144	25.265	20.128	20.579	22.078	14.074	38.182	13.363	19.67	16.118	21.576	21.545	21.066	26.695	11.88	16.025	10.167	16.981	20.828
47.84123	23.144	63.007	65.923	63.218	76.218	45.265	36.892	45.95	29.315	66.11	69.421	66.201	80.627	44.536	43.7	44.808	31.28	58.157	69.801	63.858	79.772	44.013	42.775	48.57	13.901	39.276	13.499	25.682	20.572	20.557	22.349	15.073	38.456	13.865	19.648	15.892	21.118	22.019	20.9	26.908	12.265	15.916	9.823	17.367	20.603
48.00774	23.337	62.871	66.201	62.967	76.164	45.371	36.988	46.055	29.667	65.689	69.061	66.278	80.195	44.816	43.632	44.924	31.462	58.283	69.849	63.665	79.977	43.999	42.938	48.448	13.883	39.611	13.973	25.732	21.054	20.544	22.456	15.531	38.497	13.844	19.954	16.69	21.346	21.6	21.568	26.934	12.274	15.958	10.294	17.499	21.147
