	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
45.17436	8.329	18.06	25.227	22.797	29.794	18.067	16.628	19.067	10.113	17.983	25.21	22.282	28.935	18.26	15.885	20.598	10.61	18.606	25.553	22.945	28.577	18.817	16.157	19.663	22.673	14.097	25.045	21.923	22.948	14.14	25.459	23.409	23.194	14.218	25.415	24.189
45.34106	8.739	17.838	25.247	23.132	29.807	17.987	16.044	19.436	10.349	17.757	25.202	22.224	29.034	18.428	16.455	20.625	10.904	18.691	25.657	22.8	28.593	18.96	17.148	19.52	22.777	14.05	25.15	21.92	23.278	13.756	25.648	23.601	22.962	14.088	25.66	24.381
45.50778	9.075	18.181	25.259	22.944	29.908	18.273	16.779	18.342	10.942	17.764	25.355	22.514	29.021	18.436	16.487	19.702	10.876	18.585	25.641	23.035	28.749	18.571	16.927	20.402	23.128	14.079	25.021	21.901	23.008	14.236	25.576	23.245	22.917	14.398	25.447	24.589
45.67446	9.012	18.01	25.32	23.171	30.029	18.158	16.296	19.074	10.74	17.878	25.472	22.205	29.113	18.549	15.891	20.916	10.898	18.612	25.759	23.038	28.755	18.909	16.502	19.558	22.85	14.3	25.053	21.818	23.436	14.175	25.693	23.614	23.145	14.958	25.733	24.79
45.84109	8.98	17.886	25.356	23.042	29.89	18.317	16.344	18.921	10.338	18.004	25.564	22.415	29.286	18.365	16.474	20.477	11.09	18.712	25.71	23.189	28.732	18.389	17.337	19.598	23.309	14.068	25.005	21.886	23.077	14.224	25.672	23.54	22.929	14.753	25.741	24.742
46.00784	8.624	17.983	25.4	23.113	30.19	18.217	16.525	18.201	10.293	17.877	25.44	22.43	29.303	18.605	15.613	20.21	10.763	18.754	25.895	23.12	28.805	18.91	16.73	19.895	23.325	14.418	25.388	21.986	23.234	14.207	25.604	23.64	23.086	14.652	25.757	24.476
46.17452	9.177	17.942	25.44	23.014	30.088	18.119	15.977	18.723	10.592	17.863	25.339	22.584	29.342	18.703	16.192	20.477	11.343	18.458	25.794	23.076	28.788	18.699	16.998	20.585	23.309	14.659	25.287	21.943	23.218	14.196	25.757	23.653	23.07	14.584	25.741	24.714
46.34113	8.927	17.982	25.602	23.087	30.142	18.045	15.985	19.384	10.316	17.878	25.613	22.459	29.339	18.577	15.694	20.069	10.87	18.528	25.759	23.235	28.953	18.683	17.038	19.642	23.528	14.357	25.166	21.987	23.379	14.146	25.806	23.614	23.032	14.534	25.818	24.931
46.5078	8.853	18.108	25.675	23.101	30.216	18.51	16.562	18.353	10.892	17.977	25.686	22.474	29.356	18.902	15.932	20.874	10.825	18.542	25.944	23.335	28.942	18.838	16.769	19.572	23.347	14.369	25.436	22.002	23.536	14.271	25.907	23.884	23.217	14.461	26.088	24.947
46.67439	8.781	18.003	25.65	23.192	30.189	18.293	16.515	18.418	10.988	17.899	25.549	22.508	29.499	18.655	17.127	20.034	10.385	18.662	25.92	23.227	29.001	19.212	16.58	19.748	23.322	14.351	25.214	22.008	23.371	14.056	25.798	23.832	23.194	14.754	26.035	24.867
